raw_material,Impact category,Unit,AR,BE,BG,BR,CA,CN,CZ,DE,ES,FR,GR,HU,ID,IN,IT,MX,PH,PK,PL,PT,RO,SK,TH,UA,US-CO,US-GA,US-IA,US-IL,US-IN,US-KS,US-KY,US-MI,US-MN,US-MO,US-NC,US-ND,US-NE,US-NY,US-OH,US-PA,US-SC,US-SD,US-TX,US-WI,VN,ZA
Maize,Global warming,kg CO2 eq,1.979518409,0.460786055,0.668587457,1.054420773,0.53221594,0.95178773,0.620656116,0.506959585,0.487745819,0.465948666,0.552122134,0.692837944,1.688558614,1.989021783,0.562289693,1.162274583,1.284186526,2.061892601,0.781557794,0.632991849,0.92157098,0.659780314,0.874769853,0.750582361,0.648335192,0.498114065,0.361679916,0.380861636,0.392266583,0.392717911,0.451968576,0.616615125,0.424837956,0.415472877,0.528810669,0.342555108,0.414608413,2.844175498,0.48031525,1.523565025,0.517360065,0.350135222,0.568996829,1.101633891,1.03527978,0.957626982
Maize,Stratospheric ozone depletion,kg CFC11 eq,5.04401E-06,6.25899E-06,6.9568E-06,5.78776E-06,5.92128E-06,9.70289E-06,9.02197E-06,7.18226E-06,7.70273E-06,8.08351E-06,8.7135E-06,8.50927E-06,8.71966E-06,6.85989E-06,7.93403E-06,1.11148E-05,6.14238E-06,1.06317E-05,9.757E-06,9.68661E-06,6.77965E-06,7.59723E-06,5.88699E-06,6.46463E-06,1.04008E-05,9.69154E-06,8.13607E-06,8.23572E-06,8.74526E-06,7.62041E-06,1.02225E-05,1.45505E-05,1.00657E-05,8.97785E-06,1.17404E-05,7.43527E-06,7.23689E-06,7.56804E-05,1.10814E-05,4.03861E-05,1.00826E-05,7.37845E-06,8.95243E-06,2.89765E-05,9.39136E-06,8.79177E-06
Maize,Ionizing radiation,kBq Co-60 eq,0.004463032,0.021315859,0.03335285,0.006360827,0.007515868,0.013460585,0.012345807,0.009988252,0.009299043,0.026898225,0.002726607,0.025587278,0.014390877,0.027759574,0.005348291,0.008930311,0.023888326,0.01708839,0.003397624,0.003234967,0.013640408,0.031382291,0.015842031,0.00586539,0.002659192,0.002875122,0.002212369,0.002740179,0.002714783,0.002462324,0.003003338,0.003241,0.00199133,0.002956903,0.00379854,0.001686836,0.002613079,0.006443215,0.003063461,0.004576606,0.004593971,0.002265983,0.003046766,0.002838429,0.015868351,0.026312181
Maize,"Ozone formation, Human health",kg NOx eq,0.00168782,0.001179562,0.002261556,0.002246474,0.001274328,0.002553435,0.001643883,0.001150597,0.00116033,0.001197391,0.00117833,0.001954614,0.002865613,0.00581686,0.001323184,0.003607,0.00452529,0.003097347,0.002093821,0.001638278,0.003273255,0.001829728,0.002859865,0.002137325,0.00183618,0.001080476,0.000665335,0.000654886,0.000641582,0.00088334,0.000678932,0.001193674,0.000795546,0.000691616,0.000918063,0.000625118,0.001074603,0.006310147,0.000787476,0.003154687,0.001018185,0.000691284,0.00155263,0.002325667,0.002902568,0.002761385
Maize,Fine particulate matter formation,kg PM2.5 eq,0.000938935,0.001062204,0.002515601,0.001043385,0.0009308,0.002751468,0.001808149,0.000875327,0.001013635,0.000922236,0.001196365,0.001393093,0.002370766,0.004512997,0.001120581,0.0025038,0.002904919,0.002056997,0.001861916,0.001378702,0.00273941,0.001151059,0.001759541,0.001553122,0.00225157,0.001403747,0.001096669,0.000968999,0.001096219,0.000920631,0.001259334,0.00253372,0.00157572,0.001026558,0.001679686,0.000805783,0.001020275,0.017487507,0.001574085,0.00894349,0.001177652,0.000883727,0.001407377,0.006234365,0.002269356,0.001612918
Maize,"Ozone formation, Terrestrial ecosystems",kg NOx eq,0.001707806,0.00119152,0.002281591,0.002271888,0.001287974,0.002576992,0.001659783,0.00116312,0.001172973,0.001210879,0.001190163,0.001974982,0.002897113,0.005870249,0.001337912,0.003649719,0.004571089,0.003137239,0.002112533,0.001655302,0.003302242,0.001849414,0.002889911,0.002158822,0.001853688,0.001092247,0.00067221,0.000662051,0.000648386,0.000893233,0.000686267,0.001204081,0.000802991,0.000699353,0.000927529,0.000632306,0.001086251,0.006349586,0.000795276,0.003175797,0.001029524,0.000698906,0.001569399,0.002341261,0.002933525,0.002794587
Maize,Terrestrial acidification,kg SO2 eq,0.004761694,0.00713617,0.009814277,0.005661496,0.005368965,0.01410441,0.00944873,0.005843756,0.006478989,0.006132379,0.007017782,0.007578814,0.011897624,0.017379764,0.007280739,0.014295202,0.011866659,0.011677683,0.010040233,0.008763741,0.01061955,0.00655187,0.007906959,0.007298007,0.014341321,0.009789556,0.008213829,0.007117323,0.008188375,0.00626582,0.009461482,0.019460156,0.012058435,0.007506957,0.012645654,0.005869099,0.006542943,0.138173549,0.011966839,0.07055361,0.008353629,0.006393345,0.008454641,0.049104345,0.012039357,0.008784678
Maize,Freshwater eutrophication,kg P eq,0.000123115,0.00020436,2.52847E-05,0.00026574,0.000102202,0.000150983,9.33948E-05,0.000148024,0.000266102,0.000156885,5.49073E-05,7.95462E-05,0.000140993,0.000106593,0.000202575,0.000197532,7.55803E-05,0.000222068,0.000214033,0.000222729,9.29512E-05,0.00011343,0.000116267,0.000102285,0.000227219,0.000274191,0.000217841,0.000206629,0.000245444,0.000100325,0.000275419,0.000430277,0.000296236,0.000183392,0.000344531,0.000158119,0.00010114,0.002502304,0.000318276,0.001397655,0.000288142,0.000167131,0.000145103,0.000905621,0.000253546,0.000112828
Maize,Marine eutrophication,kg N eq,0.001896524,0.002179438,0.002006188,0.002131067,0.002240763,0.003773833,0.002805901,0.002316048,0.002554318,0.002502139,0.002567899,0.002467099,0.003329082,0.002662848,0.002808328,0.004253989,0.002367081,0.004050629,0.002993624,0.002972364,0.002188906,0.002429438,0.002226014,0.002058362,0.003775618,0.003512259,0.0029748,0.002990187,0.00317736,0.002758386,0.0036871,0.005270972,0.003676379,0.003236108,0.004238709,0.002713375,0.002628819,0.02735665,0.004009767,0.014621975,0.003622826,0.002697361,0.003216402,0.010508447,0.003594149,0.003004179
Maize,Terrestrial ecotoxicity,"kg 1,4-DCB",0.753118049,2.004600799,0.505296599,1.028021842,0.462441355,3.248237678,0.653002487,0.06272235,0.168747687,0.273061784,0.214024359,0.894557213,3.938724365,7.739883517,0.212440136,0.817782966,6.58021198,4.621687713,0.773495832,0.263884164,1.100051989,0.829760324,4.28561562,0.920801031,0.212208685,0.262237803,0.179257248,0.254962358,0.266053876,0.197141436,0.34087859,0.356104323,0.143650638,0.294197239,0.384268974,0.053112094,0.206613399,1.713058484,0.325495265,0.931544263,0.366419387,0.118197425,0.224039921,0.566370715,4.250596463,25.81995615
