raw_material,Impact category,Unit,AT,AU,BE,BG,CA,CH,CN,CZ,DE,DK,ES,FI,FR,GR,HU,IN,IT,LT,LV,NL,NO,PL,RO,SE,SI,UA,UK,US
Rapeseed,Global warming,kg CO2 eq,0.744759092,4.852438934,0.963560069,1.159889914,1.476317589,1.210109385,1.770485284,0.856471345,0.940032661,0.711380506,1.533962463,1.544340935,1.25711703,1.996532087,1.265251605,1.912311544,1.225787161,1.320415877,1.148383097,1.279628456,1.317577826,1.026143998,1.184209244,0.917554682,1.354885148,1.350606346,1.019036804,2.008882878
Rapeseed,Stratospheric ozone depletion,kg CFC11 eq,1.59133E-05,1.64236E-05,2.08487E-05,1.23521E-05,1.22284E-05,2.41771E-05,2.69872E-05,1.94239E-05,1.86426E-05,1.61858E-05,1.9245E-05,3.01151E-05,1.99003E-05,1.70673E-05,1.64753E-05,1.99991E-05,1.45647E-05,2.02131E-05,1.5413E-05,3.41375E-05,2.81772E-05,2.18635E-05,1.03516E-05,2.05442E-05,1.99166E-05,2.02923E-05,2.33969E-05,4.40878E-05
Rapeseed,Ionizing radiation,kBq Co-60 eq,0.002398654,0.011405279,0.003773808,0.003182499,0.006095246,0.009922383,0.044171234,0.002928805,0.008915853,0.003922198,0.009768825,0.011042883,0.00367134,0.012828812,0.00327596,0.066952557,0.007723861,0.016922715,0.014707171,0.00224911,0.007932152,0.003711528,0.003725771,0.005145536,0.011860532,0.004097422,0.005141356,0.008941691
Rapeseed,"Ozone formation, Human health",kg NOx eq,0.001156282,0.002773613,0.001141471,0.001288961,0.001697322,0.001369373,0.002779475,0.00113517,0.001174138,0.001088743,0.001932725,0.002697194,0.001135571,0.002504771,0.001310336,0.003858677,0.001576386,0.00202943,0.001755988,0.001533567,0.002019833,0.001452661,0.001542731,0.001247742,0.001521136,0.001610039,0.001110038,0.002466147
Rapeseed,Fine particulate matter formation,kg PM2.5 eq,0.001797632,0.002301571,0.002886598,0.001180839,0.001584881,0.003059376,0.004290051,0.002055333,0.002203261,0.00209177,0.002503617,0.00331362,0.002117638,0.002113871,0.001706539,0.003549634,0.002046576,0.002334642,0.001829537,0.005023563,0.003335775,0.002419386,0.001245972,0.00202206,0.00243621,0.002137537,0.002478456,0.005581972
Rapeseed,"Ozone formation, Terrestrial ecosystems",kg NOx eq,0.001169255,0.002805806,0.001152928,0.001303466,0.001716365,0.001383816,0.002808649,0.00114838,0.001186527,0.001099951,0.001954572,0.002727448,0.001148492,0.00253261,0.001325222,0.003898104,0.001593825,0.0020515,0.001775206,0.001548023,0.002042405,0.001469475,0.001559912,0.001261847,0.001537434,0.001628548,0.001122812,0.002495793
Rapeseed,Terrestrial acidification,kg SO2 eq,0.013431752,0.01538251,0.022327336,0.008217648,0.010948551,0.023128957,0.02976144,0.015501257,0.016367936,0.015861171,0.017972979,0.02380928,0.015973724,0.014093418,0.012478865,0.021382458,0.014740927,0.016130247,0.012390664,0.039595088,0.024834459,0.018115579,0.008479631,0.01500656,0.01775791,0.015646417,0.018856054,0.042568049
Rapeseed,Freshwater eutrophication,kg P eq,0.000442211,0.001043962,0.000610373,4.20221E-05,0.000215728,0.000491343,0.000798943,0.000224715,0.000305799,0.000290146,0.000964024,0.000565905,0.000328235,0.000370383,0.00022067,0.000496625,0.000424157,0.00036861,0.00039134,0.000897662,0.000746776,0.000558084,0.000181204,0.000204578,0.000490727,0.000287641,0.00027636,0.00160518
Rapeseed,Marine eutrophication,kg N eq,0.004715801,0.006231509,0.006402312,0.00345427,0.00462294,0.00703594,0.010371179,0.005885217,0.005658867,0.004920756,0.006201788,0.008012114,0.005863894,0.005103845,0.004655611,0.007731124,0.005143939,0.005921752,0.004577254,0.010198731,0.007814065,0.006528018,0.003355895,0.005393872,0.005987659,0.005937392,0.00660172,0.015421473
Rapeseed,Terrestrial ecotoxicity,"kg 1,4-DCB",0.090142951,1.285530436,0.328044231,0.340922991,0.195647631,0.359120138,7.10137966,0.278376463,0.299057206,0.271840112,4.283131314,0.677430314,0.14673505,0.581389441,0.335672947,10.88602686,0.354779163,0.55480191,0.48629101,0.197530924,0.493502132,0.347839835,0.406361687,0.312421321,0.403332824,0.408100157,0.36516595,0.276048479
