raw_material,Impact category,Unit,AR,AT,BE,BG,BR,CA,CH,CN,CZ,DE,DK,EE,ES,FI,FR,GR,HU,IE,IN,IT,LT,LV,MX,NL,NO,PK,PL,PT,RO,SE,UA,UK
Wheat grain,Global warming,kg CO2 eq,0.465171652,0.437729068,0.457016023,0.431710186,1.239876056,0.470160957,0.49054331,0.543113644,0.445224747,0.375164609,0.37467112,0.613152966,0.599240014,0.939650856,0.41361658,0.562000156,0.45984487,0.348509167,0.745977293,0.496965586,0.478298018,0.546698309,0.347209581,0.550146885,0.580742294,1.182900043,0.445139109,1.383643797,0.458173466,0.433733972,0.42647062,0.417657698
Wheat grain,Stratospheric ozone depletion,kg CFC11 eq,6.38091E-06,8.45957E-06,9.50158E-06,7.10855E-06,6.81376E-06,6.76351E-06,1.10524E-05,9.70558E-06,9.88956E-06,7.97143E-06,8.52333E-06,9.92846E-06,1.0279E-05,9.95536E-06,8.70179E-06,8.39919E-06,7.78532E-06,8.0977E-06,9.05761E-06,8.27813E-06,8.68123E-06,8.48317E-06,5.85286E-06,1.38091E-05,1.22197E-05,1.17286E-05,8.71163E-06,2.49702E-05,6.52881E-06,9.62003E-06,5.09051E-06,9.71056E-06
Wheat grain,Ionizing radiation,kBq Co-60 eq,0.004410929,0.003045913,0.007631193,0.005218373,0.005299575,0.004872404,0.002823185,0.006114781,0.001117384,0.001897672,0.002110957,0.004877155,0.004463186,0.004046243,0.00194353,0.006199375,0.004737086,0.002011442,0.00958083,0.0046801,0.001710422,0.004365394,0.004174812,0.002012251,0.003675382,0.010844014,0.001391493,0.009816974,0.004501998,0.002538483,0.006101466,0.002330655
Wheat grain,"Ozone formation, Human health",kg NOx eq,0.001373802,0.000823582,0.00068885,0.001051129,0.00165491,0.001326118,0.000804528,0.000989662,0.000765099,0.000575705,0.00064444,0.00128874,0.001439916,0.001129998,0.000617274,0.001492604,0.001029793,0.000530872,0.001473202,0.00115844,0.000996935,0.001143392,0.000794996,0.000693529,0.001052971,0.001662172,0.000982844,0.003180783,0.001311661,0.000705662,0.001313353,0.000583414
Wheat grain,Fine particulate matter formation,kg PM2.5 eq,0.000787141,0.000902453,0.001242313,0.000694803,0.000971447,0.000860596,0.001304385,0.001266123,0.000967571,0.000808397,0.000961888,0.00105033,0.001314727,0.001000957,0.000831039,0.000974474,0.000816038,0.000875097,0.0012228,0.001102878,0.000854098,0.000892126,0.00073283,0.001804149,0.001327613,0.001600803,0.000926984,0.003556066,0.000777068,0.000860166,0.000615601,0.000929306
Wheat grain,"Ozone formation, Terrestrial ecosystems",kg NOx eq,0.00138937,0.000832682,0.000695602,0.00106275,0.001673322,0.001341037,0.000813332,0.001000926,0.000774003,0.000582158,0.000651331,0.001303258,0.001456217,0.001142652,0.000624308,0.001509295,0.001041184,0.000536719,0.001489703,0.001171457,0.001008458,0.001156311,0.000803807,0.000700344,0.0010648,0.001680742,0.000994079,0.003216887,0.00132623,0.000713658,0.001327794,0.0005901
Wheat grain,Terrestrial acidification,kg SO2 eq,0.004836057,0.006405568,0.009066902,0.00435861,0.006031958,0.005457515,0.009726515,0.009005113,0.00708875,0.005937615,0.007132846,0.007044697,0.00907803,0.006852119,0.006072963,0.006149004,0.00539504,0.006522832,0.007985018,0.007604788,0.005903019,0.005922589,0.004975456,0.014008263,0.009615074,0.010816841,0.006535582,0.025380178,0.004821863,0.00619581,0.003406542,0.006883573
Wheat grain,Freshwater eutrophication,kg P eq,0.000188732,0.000115037,0.0001965,2.13582E-05,0.000332423,0.000125565,0.000218724,0.00032304,8.80307E-05,9.38274E-05,0.00012621,0.000166907,0.000353171,0.00011682,7.84393E-05,0.000125652,9.22658E-05,0.000171537,0.00024017,0.000274656,0.000111467,0.000103434,7.60119E-05,0.000266923,0.000247524,0.000178573,0.000194069,0.000905125,8.55347E-05,6.30909E-05,8.00151E-05,0.000103245
Wheat grain,Marine eutrophication,kg N eq,0.002407669,0.002618252,0.003029763,0.00212839,0.002526258,0.002599555,0.003398567,0.00379514,0.003125284,0.002577553,0.002691925,0.002940856,0.003471962,0.002854228,0.002715662,0.002630555,0.002392973,0.002582855,0.003548172,0.003021214,0.002690067,0.002619389,0.002294309,0.004224458,0.003519853,0.004504701,0.002797066,0.007742159,0.002201393,0.002692922,0.001778235,0.002916106
Wheat grain,Terrestrial ecotoxicity,"kg 1,4-DCB",0.253671521,0.130620939,8.238386059,0.38442083,0.302344492,0.348924555,0.130269257,0.27375888,0.033594914,0.183210699,0.093210905,0.201899969,0.390790079,0.15323356,0.167028846,0.527121805,45.66015281,0.710881232,0.426688946,0.39267501,0.0467272,0.179714465,0.104015846,0.122481544,0.144991969,0.483468171,0.044377188,0.870059582,0.463930654,0.095851105,60.12324396,0.824903186
