ingredient,coproduct,country,coproduct_cf
soy protein concentrate,soy oil,USA,0.19
soy protein concentrate,soy oil,BRA,0.18
soy protein concentrate,soy oil,ARG,0.17
soy protein concentrate,soy oil,CHN,0.15
soy protein concentrate,soy oil,IND,0.18
soy protein concentrate,soy oil,PRY,0.19
soy protein concentrate,soy oil,CAN,0.17
soy protein concentrate,soy oil,UKR,0.17
soy protein concentrate,soy oil,RUS,0.17
soy protein concentrate,soy oil,BOL,0.2
soy protein concentrate,lecithin,USA,0.2755
soy protein concentrate,lecithin,BRA,0.261
soy protein concentrate,lecithin,ARG,0.2465
soy protein concentrate,lecithin,CHN,0.2175
soy protein concentrate,lecithin,IND,0.261
soy protein concentrate,lecithin,PRY,0.2755
soy protein concentrate,lecithin,CAN,0.2465
soy protein concentrate,lecithin,UKR,0.2465
soy protein concentrate,lecithin,RUS,0.2465
soy protein concentrate,lecithin,BOL,0.29
soybean meal,soy oil,USA,0.19
soybean meal,soy oil,BRA,0.18
soybean meal,soy oil,ARG,0.17
soybean meal,soy oil,CHN,0.15
soybean meal,soy oil,IND,0.18
soybean meal,soy oil,PRY,0.19
soybean meal,soy oil,CAN,0.17
soybean meal,soy oil,UKR,0.17
soybean meal,soy oil,RUS,0.17
soybean meal,soy oil,BOL,0.2
soybean meal,lecithin,USA,0.2755
soybean meal,lecithin,BRA,0.261
soybean meal,lecithin,ARG,0.2465
soybean meal,lecithin,CHN,0.2175
soybean meal,lecithin,IND,0.261
soybean meal,lecithin,PRY,0.2755
soybean meal,lecithin,CAN,0.2465
soybean meal,lecithin,UKR,0.2465
soybean meal,lecithin,RUS,0.2465
soybean meal,lecithin,BOL,0.29
wheat gluten,wheat starch,CHN,0.75
wheat gluten,wheat starch,IND,0.78
wheat gluten,wheat starch,RUS,0.78
wheat gluten,wheat starch,USA,0.78
wheat gluten,wheat starch,FRA,0.85
wheat gluten,wheat starch,CAN,0.84
wheat gluten,wheat starch,UKR,0.75
wheat gluten,wheat starch,PAK,0.85
wheat gluten,wheat starch,DEU,0.5
wheat gluten,wheat starch,AUS,0.78
wheat,wheat,CHN,0
wheat,wheat,IND,0
wheat,wheat,RUS,0
wheat,wheat,USA,0
wheat,wheat,FRA,0
wheat,wheat,CAN,0
wheat,wheat,UKR,0
wheat,wheat,PAK,0
wheat,wheat,DEU,0
wheat,wheat,AUS,0
corn gluten meal,corn starch,USA,0.62
corn gluten meal,corn starch,CHN,0.7
corn gluten meal,corn starch,BRA,0.85
corn gluten meal,corn starch,ARG,0.85
corn gluten meal,corn starch,UKR,0.6
corn gluten meal,corn starch,MEX,0.8
corn gluten meal,corn starch,IND,0.8
corn gluten meal,corn starch,IDN,0.8
corn gluten meal,corn starch,ROU,0.8
corn gluten meal,corn starch,CAN,0.85
corn gluten meal,maize germ oil meal,USA,0.11
corn gluten meal,maize germ oil meal,CHN,0.11
corn gluten meal,maize germ oil meal,BRA,0.11
corn gluten meal,maize germ oil meal,ARG,0.11
corn gluten meal,maize germ oil meal,UKR,0.11
corn gluten meal,maize germ oil meal,MEX,0.11
corn gluten meal,maize germ oil meal,IND,0.11
corn gluten meal,maize germ oil meal,IDN,0.11
corn gluten meal,maize germ oil meal,ROU,0.11
corn gluten meal,maize germ oil meal,CAN,0.11
corn gluten meal,corn gluten feed,USA,0.22
corn gluten meal,corn gluten feed,CHN,0.22
corn gluten meal,corn gluten feed,BRA,0.22
corn gluten meal,corn gluten feed,ARG,0.22
corn gluten meal,corn gluten feed,UKR,0.22
corn gluten meal,corn gluten feed,MEX,0.22
corn gluten meal,corn gluten feed,IND,0.22
corn gluten meal,corn gluten feed,IDN,0.22
corn gluten meal,corn gluten feed,ROU,0.22
corn gluten meal,corn gluten feed,CAN,0.22
corn gluten meal,maize steep liquor,USA,0.01
corn gluten meal,maize steep liquor,CHN,0.01
corn gluten meal,maize steep liquor,BRA,0.01
corn gluten meal,maize steep liquor,ARG,0.01
corn gluten meal,maize steep liquor,UKR,0.01
corn gluten meal,maize steep liquor,MEX,0.01
corn gluten meal,maize steep liquor,IND,0.01
corn gluten meal,maize steep liquor,IDN,0.01
corn gluten meal,maize steep liquor,ROU,0.01
corn gluten meal,maize steep liquor,CAN,0.01
corn starch,corn gluten meal,USA,0.06
corn starch,corn gluten meal,CHN,0.1
corn starch,corn gluten meal,BRA,0.15
corn starch,corn gluten meal,ARG,0.12
corn starch,corn gluten meal,UKR,0.15
corn starch,corn gluten meal,MEX,0.15
corn starch,corn gluten meal,IND,0.1
corn starch,corn gluten meal,IDN,0.11
corn starch,corn gluten meal,ROU,0.11
corn starch,corn gluten meal,CAN,0.1
corn starch,maize germ oil meal,USA,0.11
corn starch,maize germ oil meal,CHN,0.11
corn starch,maize germ oil meal,BRA,0.11
corn starch,maize germ oil meal,ARG,0.11
corn starch,maize germ oil meal,UKR,0.11
corn starch,maize germ oil meal,MEX,0.11
corn starch,maize germ oil meal,IND,0.11
corn starch,maize germ oil meal,IDN,0.11
corn starch,maize germ oil meal,ROU,0.11
corn starch,maize germ oil meal,CAN,0.11
corn starch,corn gluten feed,USA,0.22
corn starch,corn gluten feed,CHN,0.22
corn starch,corn gluten feed,BRA,0.22
corn starch,corn gluten feed,ARG,0.22
corn starch,corn gluten feed,UKR,0.22
corn starch,corn gluten feed,MEX,0.22
corn starch,corn gluten feed,IND,0.22
corn starch,corn gluten feed,IDN,0.22
corn starch,corn gluten feed,ROU,0.22
corn starch,corn gluten feed,CAN,0.22
corn starch,maize steep liquor,USA,0.01
corn starch,maize steep liquor,CHN,0.01
corn starch,maize steep liquor,BRA,0.01
corn starch,maize steep liquor,ARG,0.01
corn starch,maize steep liquor,UKR,0.01
corn starch,maize steep liquor,MEX,0.01
corn starch,maize steep liquor,IND,0.01
corn starch,maize steep liquor,IDN,0.01
corn starch,maize steep liquor,ROU,0.01
corn starch,maize steep liquor,CAN,0.01
pea protein concentrate,pea starch,CAN,0.5
pea protein concentrate,pea starch,RUS,0.5
pea protein concentrate,pea starch,CHN,0.5
pea protein concentrate,pea starch,USA,0.5
pea protein concentrate,pea starch,IND,0.5
pea protein concentrate,pea starch,UKR,0.5
pea protein concentrate,pea starch,FRA,0.5
pea protein concentrate,pea starch,ETH,0.5
pea protein concentrate,pea starch,LTU,0.5
pea protein concentrate,pea starch,AUS,0.5
pea protein concentrate,pea pulp,CAN,0.09
pea protein concentrate,pea pulp,RUS,0.09
pea protein concentrate,pea pulp,CHN,0.09
pea protein concentrate,pea pulp,USA,0.09
pea protein concentrate,pea pulp,IND,0.09
pea protein concentrate,pea pulp,UKR,0.09
pea protein concentrate,pea pulp,FRA,0.09
pea protein concentrate,pea pulp,ETH,0.09
pea protein concentrate,pea pulp,LTU,0.09
pea protein concentrate,pea pulp,AUS,0.09
pea protein concentrate,pea solubles,CAN,0.01
pea protein concentrate,pea solubles,RUS,0.01
pea protein concentrate,pea solubles,CHN,0.01
pea protein concentrate,pea solubles,USA,0.01
pea protein concentrate,pea solubles,IND,0.01
pea protein concentrate,pea solubles,UKR,0.01
pea protein concentrate,pea solubles,FRA,0.01
pea protein concentrate,pea solubles,ETH,0.01
pea protein concentrate,pea solubles,LTU,0.01
pea protein concentrate,pea solubles,AUS,0.01
pea starch,pea protein concentrate,CAN,0.23
pea starch,pea protein concentrate,RUS,0.23
pea starch,pea protein concentrate,CHN,0.23
pea starch,pea protein concentrate,USA,0.23
pea starch,pea protein concentrate,IND,0.23
pea starch,pea protein concentrate,UKR,0.23
pea starch,pea protein concentrate,FRA,0.23
pea starch,pea protein concentrate,ETH,0.23
pea starch,pea protein concentrate,LTU,0.23
pea starch,pea protein concentrate,AUS,0.23
pea starch,pea pulp,CAN,0.09
pea starch,pea pulp,RUS,0.09
pea starch,pea pulp,CHN,0.09
pea starch,pea pulp,USA,0.09
pea starch,pea pulp,IND,0.09
pea starch,pea pulp,UKR,0.09
pea starch,pea pulp,FRA,0.09
pea starch,pea pulp,ETH,0.09
pea starch,pea pulp,LTU,0.09
pea starch,pea pulp,AUS,0.09
pea starch,pea solubles,CAN,0.01
pea starch,pea solubles,RUS,0.01
pea starch,pea solubles,CHN,0.01
pea starch,pea solubles,USA,0.01
pea starch,pea solubles,IND,0.01
pea starch,pea solubles,UKR,0.01
pea starch,pea solubles,FRA,0.01
pea starch,pea solubles,ETH,0.01
pea starch,pea solubles,LTU,0.01
pea starch,pea solubles,AUS,0.01
sunflower meal,sunflower oil,UKR,0.47
sunflower meal,sunflower oil,RUS,0.45
sunflower meal,sunflower oil,ARG,0.4
sunflower meal,sunflower oil,CHN,0.35
sunflower meal,sunflower oil,ROU,0.41
sunflower meal,sunflower oil,BGR,0.37
sunflower meal,sunflower oil,TUR,0.38
sunflower meal,sunflower oil,HUN,0.42
sunflower meal,sunflower oil,FRA,0.42
sunflower meal,sunflower oil,USA,0.41
linseed oil,linseed meal,KAZ,0.6
linseed oil,linseed meal,RUS,0.6
linseed oil,linseed meal,CAN,0.63
linseed oil,linseed meal,CHN,0.61
linseed oil,linseed meal,USA,0.64
linseed oil,linseed meal,IND,0.61
linseed oil,linseed meal,ETH,0.45
linseed oil,linseed meal,UKR,0.6
linseed oil,linseed meal,FRA,0.62
linseed oil,linseed meal,GBR,0.64
guar meal,guar gum,IND,0.58
guar meal,guar gum,KEN,0.58
guar meal,guar gum,ETH,0.58
guar meal,guar gum,TZA,0.58
guar meal,guar gum,SDN,0.58
guar meal,guar gum,SLE,0.58
guar meal,guar gum,NGA,0.58
guar meal,guar gum,PAK,0.58
guar meal,guar gum,GIN,0.58
guar meal,guar gum,CAF,0.58
faba beans,faba beans,CHN,0
faba beans,faba beans,ETH,0
faba beans,faba beans,GBR,0
faba beans,faba beans,AUS,0
faba beans,faba beans,FRA,0
faba beans,faba beans,DEU,0
faba beans,faba beans,SDN,0
faba beans,faba beans,EGY,0
faba beans,faba beans,ITA,0
faba beans,faba beans,MAR,0
canola oil,canola meal,CAN,0.61
canola oil,canola meal,CHN,0.63
canola oil,canola meal,IND,0.6
canola oil,canola meal,FRA,0.56
canola oil,canola meal,DEU,0.59
canola oil,canola meal,AUS,0.5
canola oil,canola meal,POL,0.56
canola oil,canola meal,UKR,0.6
canola oil,canola meal,GBR,0.58
canola oil,canola meal,RUS,0.6
