3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
HER,1210500105,Atlantic herring,Hareng de l'Atlantique,Arenque del Atlántico,NA,NA,Сельдь атлантическая,Clupea harengus,Linnaeus 1758,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
HEP,1210500107,Pacific herring,Hareng du Pacifique,Arenque del Pacífico,NA,NA,Сельдь восточная,Clupea pallasii,Valenciennes 1847,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CBK,1210500201,Dogtooth herring,Poisson-papier dentu,Arenquillo dentón,NA,NA,NA,Chirocentrodon bleekerianus,(Poey 1867),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AGC,1210500501,Bleeker smoothbelly sardinella,Sardinelle coulat,Sardinela vientre liso,سردينة جوف صَقِِيل,勃氏钝腹鲱,NA,Amblygaster clupeoides,Bleeker 1849,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AGL,1210500502,Smoothbelly sardinella,Sardinelle daniva,Sardinela daniva,سردينة بطن مُنسَجِم,钝腹鲱,NA,Amblygaster leiogaster,(Valenciennes 1847),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AGS,1210500503,Spotted sardinella,Sardinelle tachetée,Sardinela manchada,سردينة مُبَقَّعة,斑点钝腹鲱,NA,Amblygaster sirm,(Walbaum 1792),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDY,1210501201,Deepbody sardinella,NA,NA,NA,NA,NA,Sardinella brachysoma,Bleeker 1852,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
TWA,1210501202,Yellowtail sardinella,Sardinelle à queue jaune,Alacha rabo amarillo,NA,NA,NA,Sardinella rouxi,(Poll 1953),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SAG,1210501203,Goldstripe sardinella,Sardinelle dorée,Sardinela dorada,NA,NA,NA,Sardinella gibbosa,(Bleeker 1849),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
IOS,1210501204,Indian oil sardine,Sardinelle indienne,Sardinela aceitera,NA,NA,NA,Sardinella longiceps,Valenciennes 1847,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDM,1210501205,Blacktip sardinella,Sardinelle queue noire,Sardinela rabo negro,سردينة سوداء الذَّيل,黑尾小沙丁鱼,NA,Sardinella melanura,(Cuvier 1829),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
FRS,1210501208,Fringescale sardinella,Tunsoy,Tunsoy,NA,NA,NA,Sardinella fimbriata,(Valenciennes 1847),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDI,1210501209,Sind sardinella,Sardinelle miyako,Sardinela sinda,سردينة مِياكو,信德小沙丁鱼,NA,Sardinella sindensis,(Day 1878),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SAA,1210501210,Round sardinella,Allache,Alacha,NA,NA,Сардинелла круглая (=алаша),Sardinella aurita,Valenciennes 1847,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SDN,1210501211,East African sardinella,NA,NA,NA,NA,NA,Sardinella neglecta,Wongratana 1983,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
