Countries,Landings (t),Fish meal (t),Fish oil (t),FM. ratio,FO. ratio
Peru,7561000.00,1700000.00,270000.00,4.45,28.00
Chile,3161000.00,773000.00,157000.00,4.09,20.13
China,2042000.00,769000.00,0.00,2.66,0.00
Thaïland,475500.00,499000.00,0.00,0.95,0.00
Norway,1061000.00,203000.00,47500.00,5.23,22.34
United States,909000.00,258000.00,88000.00,3.52,10.33
Iceland,1262000.00,221000.00,74000.00,5.71,17.05
Japan,1141000.00,226000.00,66000.00,5.05,17.29
Denmark,881500.00,327000.00,106000.00,2.70,8.32
South Africa,517000.00,109000.00,2500.00,4.74,206.80
Mexico,495000.00,68000.00,14000.00,7.28,35.36
Faeroe Islands,299500.00,43500.00,11000.00,6.89,27.23
Morocco,657500.00,31000.00,15000.00,21.21,43.83
Canada,239000.00,28000.00,6000.00,8.54,39.83
