ID_0,continent,country,stressor,prop
4,Europe,Albania,ocean_broiler_ghg,0.12135882583358339
5,Africa,Algeria,ocean_broiler_ghg,0.03732937874828411
6,Oceania,American Samoa,ocean_broiler_ghg,1.0340517052686097e-9
8,Africa,Angola,ocean_broiler_ghg,0.016372519846983135
9,Americas,Anguilla,ocean_broiler_ghg,3.079174061487354e-10
11,Americas,Antigua and Barbuda,ocean_broiler_ghg,3.8792374565149577e-4
12,Americas,Argentina,ocean_broiler_ghg,0.018691503041680796
14,Americas,Aruba,ocean_broiler_ghg,1.5881825763039336e-7
15,Oceania,Australia,ocean_broiler_ghg,0.0031192814014652324
18,Americas,Bahamas,ocean_broiler_ghg,0.002752671516984833
19,Asia,Bahrain,ocean_broiler_ghg,0.04673129023598381
20,Asia,Bangladesh,ocean_broiler_ghg,0.121109602432607
21,Americas,Barbados,ocean_broiler_ghg,0.0027014879247752497
23,Europe,Belgium,ocean_broiler_ghg,0.6044800592238426
24,Americas,Belize,ocean_broiler_ghg,0.04974425134425018
25,Africa,Benin,ocean_broiler_ghg,0.01326601845239071
26,Americas,Bermuda,ocean_broiler_ghg,5.077789055783319e-10
29,Americas,Bonaire/ Sint Eustatius and Saba,ocean_broiler_ghg,4.600138064034841e-8
30,Europe,Bosnia and Herzegovina,ocean_broiler_ghg,0.6277242018999148
33,Americas,Brazil,ocean_broiler_ghg,0.06327667746382086
34,Africa,British Indian Ocean Territory,ocean_broiler_ghg,1.0412440802883386e-10
35,Americas,British Virgin Islands,ocean_broiler_ghg,6.608458356892505e-10
36,Asia,Brunei Darussalam,ocean_broiler_ghg,0.09299155079990352
37,Europe,Bulgaria,ocean_broiler_ghg,0.15278360532094898
40,Asia,Cambodia,ocean_broiler_ghg,0.016453953167071964
41,Africa,Cameroon,ocean_broiler_ghg,0.037294308456330395
42,Americas,Canada,ocean_broiler_ghg,0.0031479883265703628
43,Africa,Cabo Verde,ocean_broiler_ghg,6.609261136590274e-11
45,Americas,Cayman Islands,ocean_broiler_ghg,5.251509385886598e-11
48,Americas,Chile,ocean_broiler_ghg,0.009365019752688015
49,Asia,China,ocean_broiler_ghg,0.243202486466404
50,Oceania,Christmas Island,ocean_broiler_ghg,6.155701963699062e-9
52,Oceania,Cocos (Keeling) Islands,ocean_broiler_ghg,2.5010950070144453e-9
53,Americas,Colombia,ocean_broiler_ghg,0.0803426933185638
54,Africa,Comoros,ocean_broiler_ghg,0.0012241954344620416
55,Oceania,Cook Islands,ocean_broiler_ghg,4.039573934969712e-12
56,Americas,Costa Rica,ocean_broiler_ghg,0.016614608057390724
57,Africa,Côte d’Ivoire,ocean_broiler_ghg,0.051123301775772984
58,Europe,Croatia,ocean_broiler_ghg,0.10211517765304924
59,Americas,Cuba,ocean_broiler_ghg,2.8185892874021753e-8
60,Americas,Curaçao,ocean_broiler_ghg,1.0814409407127994e-7
61,Asia,Cyprus,ocean_broiler_ghg,0.02099635165628089
64,Europe,Denmark,ocean_broiler_ghg,0.07160974635624398
65,Africa,Djibouti,ocean_broiler_ghg,3.969970753615575e-6
66,Americas,Dominica,ocean_broiler_ghg,0.014486660211947819
67,Americas,Dominican Republic,ocean_broiler_ghg,0.12752658805117773
68,Americas,Ecuador,ocean_broiler_ghg,0.04156778126193194
69,Africa,Egypt,ocean_broiler_ghg,2.1399356974885025e-4
70,Americas,El Salvador,ocean_broiler_ghg,0.06210282845621001
71,Africa,Equatorial Guinea,ocean_broiler_ghg,0.0012072696983107202
72,Africa,Eritrea,ocean_broiler_ghg,5.175284866550815e-4
73,Europe,Estonia,ocean_broiler_ghg,0.02254801667575392
75,Americas,Falkland Islands (Malvinas),ocean_broiler_ghg,2.5522532311574356e-8
76,Europe,Faroe Islands,ocean_broiler_ghg,1.2377193490239264e-6
77,Oceania,Fiji,ocean_broiler_ghg,0.0022067253789254415
78,Europe,Finland,ocean_broiler_ghg,0.010405726409643847
79,Europe,France,ocean_broiler_ghg,0.14535551541511993
80,Americas,French Guiana,ocean_broiler_ghg,0.0017347619294822091
81,Oceania,French Polynesia,ocean_broiler_ghg,3.253728286607279e-11
83,Africa,Gabon,ocean_broiler_ghg,0.012444633451220056
84,Africa,Gambia,ocean_broiler_ghg,0.00975756647934228
85,Asia,Georgia,ocean_broiler_ghg,0.13834833755345746
86,Europe,Germany,ocean_broiler_ghg,0.32217080171102325
87,Africa,Ghana,ocean_broiler_ghg,0.05760246088259557
88,Europe,Gibraltar,ocean_broiler_ghg,8.267680868812022e-7
89,Europe,Greece,ocean_broiler_ghg,0.058685721824549654
90,Americas,Greenland,ocean_broiler_ghg,1.542022162936607e-8
91,Americas,Grenada,ocean_broiler_ghg,0.00997210965400984
94,Americas,Guatemala,ocean_broiler_ghg,0.06004370539500654
95,Europe,Guernsey,ocean_broiler_ghg,6.317235321632559e-7
96,Africa,Guinea,ocean_broiler_ghg,0.012363678389193201
97,Africa,Guinea-Bissau,ocean_broiler_ghg,0.004711218045251856
98,Americas,Guyana,ocean_broiler_ghg,0.031527775182175616
99,Americas,Haiti,ocean_broiler_ghg,0.008172562409698176
101,Americas,Honduras,ocean_broiler_ghg,0.2086040856337273
104,Europe,Iceland,ocean_broiler_ghg,3.978224951715946e-4
105,Asia,India,ocean_broiler_ghg,0.13826419430540735
106,Asia,Indonesia,ocean_broiler_ghg,0.05269823889722171
107,Asia,Iran (Islamic Republic of),ocean_broiler_ghg,0.5024907284423547
108,Asia,Iraq,ocean_broiler_ghg,0.20402639199862313
109,Europe,Ireland,ocean_broiler_ghg,0.020991104199480824
111,Asia,Israel,ocean_broiler_ghg,0.28967799593585536
112,Europe,Italy,ocean_broiler_ghg,0.08026712289482014
113,Americas,Jamaica,ocean_broiler_ghg,0.03827554240030742
114,Asia,Japan,ocean_broiler_ghg,0.051413465679248864
115,Europe,Jersey,ocean_broiler_ghg,6.002259936061754e-7
116,Asia,Jordan,ocean_broiler_ghg,0.180914733752659
118,Africa,Kenya,ocean_broiler_ghg,0.008944294468740895
119,Oceania,Kiribati,ocean_broiler_ghg,5.558321156461956e-10
121,Asia,Kuwait,ocean_broiler_ghg,0.5598736707529608
124,Europe,Latvia,ocean_broiler_ghg,0.04551739192112411
125,Asia,Lebanon,ocean_broiler_ghg,0.3126501734156157
127,Africa,Liberia,ocean_broiler_ghg,0.0025769091756393933
128,Africa,Libya,ocean_broiler_ghg,0.012991368594057594
130,Europe,Lithuania,ocean_broiler_ghg,0.1474881930723967
134,Africa,Madagascar,ocean_broiler_ghg,0.009631130071696074
136,Asia,Malaysia,ocean_broiler_ghg,0.18668310996617254
137,Asia,Maldives,ocean_broiler_ghg,7.613067077609779e-11
139,Europe,Malta,ocean_broiler_ghg,0.006273770388876589
140,Oceania,Marshall Islands,ocean_broiler_ghg,3.582430160493493e-11
142,Africa,Mauritania,ocean_broiler_ghg,0.001620029266123259
143,Africa,Mauritius,ocean_broiler_ghg,1.8006926238312768e-9
144,Africa,Mayotte,ocean_broiler_ghg,4.398353376283569e-9
145,Americas,Mexico,ocean_broiler_ghg,0.03774204848275802
146,Oceania,Micronesia (Federated States of),ocean_broiler_ghg,8.811098552827139e-11
148,Europe,Monaco,ocean_broiler_ghg,3.9242457319232924e-7
150,Europe,Montenegro,ocean_broiler_ghg,2.5033165397958084e-4
151,Americas,Montserrat,ocean_broiler_ghg,4.500987709186715e-9
152,Africa,Morocco,ocean_broiler_ghg,0.23155348859643357
153,Africa,Mozambique,ocean_broiler_ghg,0.00451359618789564
154,Asia,Myanmar,ocean_broiler_ghg,0.02938225411058808
155,Africa,Namibia,ocean_broiler_ghg,0.004461068417222675
156,Oceania,Nauru,ocean_broiler_ghg,7.782939015693448e-11
158,Europe,Netherlands,ocean_broiler_ghg,0.2920857580163569
159,Oceania,New Caledonia,ocean_broiler_ghg,1.0886423406184745e-11
160,Oceania,New Zealand,ocean_broiler_ghg,0.005285504847506624
161,Americas,Nicaragua,ocean_broiler_ghg,0.038372391821268115
163,Africa,Nigeria,ocean_broiler_ghg,0.06084345408774049
164,Oceania,Niue,ocean_broiler_ghg,1.7801730547438188e-12
165,Oceania,Norfolk Island,ocean_broiler_ghg,4.755581914527891e-9
166,Asia,Democratic People's Republic of Korea,ocean_broiler_ghg,0.03014990448012152
169,Europe,Norway,ocean_broiler_ghg,0.0013927434219774086
170,Asia,Oman,ocean_broiler_ghg,1.5591915237131383e-4
171,Asia,Pakistan,ocean_broiler_ghg,0.27941758201038797
172,Oceania,Palau,ocean_broiler_ghg,1.961638021963636e-11
