raw_material,impact,unit,iso2c,value,iso3c,allocation,FAOSTAT_name
Broad bean,Global warming,kg CO2 eq,AU,0.720313,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,DE,0.387755,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,FR,0.841741,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,GB,0.314096,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Global warming,kg CO2 eq,IT,0.695671,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,AU,3.74e-6,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,DE,6.66e-6,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,FR,4.56e-6,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,GB,4.95e-6,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Stratospheric ozone depletion,kg CFC11 eq,IT,8.77e-6,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,AU,0.016898,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,DE,0.007927,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,FR,0.012487,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,GB,0.007915,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Ionizing radiation,kBq Co-60 eq,IT,0.014137,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,AU,0.001378,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,DE,9.27e-4,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,FR,0.001209,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,GB,6.9e-4,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Human health",kg NOx eq,IT,0.00331,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,AU,5.28e-4,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,DE,0.00191,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,FR,7.6e-4,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,GB,0.001164,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Fine particulate matter formation,kg PM2.5 eq,IT,0.003408,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,AU,0.001395,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,DE,0.002309,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,FR,0.001552,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,GB,9.7e-4,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,"Ozone formation, Terrestrial ecosystems",kg NOx eq,IT,0.005268,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,AU,0.001424,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,DE,0.003456,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,FR,0.001809,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,GB,0.00167,GBR,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Terrestrial acidification,kg SO2 eq,IT,0.005095,ITA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,AU,0.001247,AUS,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,DE,4.63e-4,DEU,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,FR,5.13e-4,FRA,Energetic allocation,"Broad beans, horse beans, dry"
Broad bean,Freshwater eutrophication,kg P eq,GB,4.46e-4,GBR,Energetic allocation,"Broad beans, horse beans, dry"
