fao_area,country_iso2,country_iso3
27,GB,GBR
27,FO,FRO
27,RU,RUS
27,EE,EST
27,LV,LVA
27,FR,FRA
27,LT,LTU
27,PL,POL
27,DE,DEU
27,FI,FIN
27,SE,SWE
27,ES,ESP
27,DK,DNK
27,NO,NOR
27,PT,PRT
27,JE,JEY
27,NL,NLD
27,IE,IRL
27,IM,IMN
27,BE,BEL
27,IS,ISL
27,GG,GGY
27,GL,GRL
31,CO,COL
31,VE,VEN
31,TC,TCA
31,VI,VIR
31,PA,PAN
31,CR,CRI
31,NI,NIC
31,HN,HND
31,BZ,BLZ
31,MX,MEX
31,US,USA
31,SR,SUR
31,GY,GUY
31,GP,GLP
31,DM,DMA
31,MQ,MTQ
31,VC,VCT
31,GD,GRD
31,TT,TTO
31,BQ,BES
31,AW,ABW
31,DO,DOM
31,PR,PRI
31,VG,VGB
31,FR,FRA
31,KN,KNA
31,AG,ATG
31,CU,CUB
31,BS,BHS
31,JM,JAM
31,SX,SXM
31,HT,HTI
31,BM,BMU
31,KY,CYM
31,CW,CUW
31,LC,LCA
31,BB,BRB
31,GT,GTM
61,RU,RUS
61,JP,JPN
61,KR,KOR
61,CN,CHN
61,KP,PRK
61,MO,MAC
61,HK,HKG
61,TW,TWN
61,PH,PHL
61,VN,VNM
61,US,USA
67,US,USA
67,RU,RUS
67,CA,CAN
87,EC,ECU
87,CL,CHL
87,PE,PER
87,CO,COL
