common_name,sci_name,ingredient,mass_allocation_factor,ge_allocation_factor,econ_allocation_factor
Antarctic krill,Euphausia superba,Fishmeal,6.22,6.198905831,6.21
Antarctic krill,Euphausia superba,Fish oil,6.22,10.21883386,8.08
Atlantic herring,Clupea harengus,Fishmeal,3.13,2.513707296,2.81
Atlantic herring,Clupea harengus,Fish oil,3.13,4.143821173,3.65
Atlantic mackerel,Scomber scombrus,Fishmeal,2.63,1.987229715,2.29
Atlantic mackerel,Scomber scombrus,Fish oil,2.63,3.27592818,2.98
Blue whiting,Micromesistius poutassou,Fishmeal,4.55,4.292401873,4.42
Blue whiting,Micromesistius poutassou,Fish oil,4.55,7.075981275,5.76
Boarfish,Capros aper,Fishmeal,4,3.711198979,3.86
Boarfish,Capros aper,Fish oil,4,6.117874155,5.03
Capelin,Mallotus villosus,Fishmeal,4,3.31258337,3.65
Capelin,Mallotus villosus,Fish oil,4,5.460760338,4.75
Chilean jack,Trachurus murphyi,Fishmeal,2.63,1.987229715,2.29
Chilean jack,Trachurus murphyi,Fish oil,2.63,3.27592818,2.98
European sprat,Sprattus sprattus,Fishmeal,3.7,3.10675563,3.4
European sprat,Sprattus sprattus,Fish oil,3.7,5.121455379,4.43
Gulf menhaden,Brevoortia patronus,Fishmeal,2.7,2.201170757,2.44
Gulf menhaden,Brevoortia patronus,Fish oil,2.7,3.628607833,3.18
Norway pout,Trisopterus esmarkii,Fishmeal,3.13,2.513707296,2.81
Norway pout,Trisopterus esmarkii,Fish oil,3.13,4.143821173,3.65
Peruvian anchovy,Engraulis ringens,Fishmeal,3.57,3.200773341,3.39
Peruvian anchovy,Engraulis ringens,Fish oil,3.57,5.27644263,4.41
Sandeels,Ammodytes tobianus,Fishmeal,4.17,3.760252366,3.97
Sandeels,Ammodytes tobianus,Fish oil,4.17,6.19873817,5.17
South American pilchard,Sardinops sagax,Fishmeal,2.44,1.898512407,2.15
South American pilchard,Sardinops sagax,Fish oil,2.44,3.129678591,2.8
NA,NA,Fishmeal,3.57,3.200773341,3.39
NA,NA,Fish oil,3.64,5.362259517,4.41
NA,NA,NA,NA,NA,NA
