ingredient,item,iso3c,ge_allocation_factor,mass_allocation_factor
soy protein concentrate,Soybeans,USA,0.8614774554813126,1.2570710245128849
soy protein concentrate,Soybeans,BRA,0.903284961440172,1.314060446780552
soy protein concentrate,Soybeans,ARG,0.923067646015154,1.3218770654329148
soy protein concentrate,Soybeans,CHN,1.004124985808535,1.413427561837456
soy protein concentrate,Soybeans,IND,0.8872560603155778,1.2804097311139564
soy protein concentrate,Soybeans,PRY,0.8614774554813126,1.2570710245128849
soy protein concentrate,Soybeans,CAN,0.9404292421510784,1.3577732518669383
soy protein concentrate,Soybeans,UKR,0.9404292421510784,1.3577732518669383
soy protein concentrate,Soybeans,RUS,0.9404292421510784,1.3577732518669383
soy protein concentrate,Soybeans,BOL,0.8302044221944095,1.219512195121951
soybean meal,Soybeans,USA,0.6100421610356471,0.7902015013828526
soybean meal,Soybeans,BRA,0.638952766146531,0.8257638315441783
soybean meal,Soybeans,ARG,0.644790696684892,0.8220304151253597
soybean meal,Soybeans,CHN,0.6745131607104643,0.8421052631578948
soybean meal,Soybeans,IND,0.6269353047319295,0.8058017727639001
soybean meal,Soybeans,PRY,0.6137865175715863,0.7964954201513341
soybean meal,Soybeans,CAN,0.6618611737788745,0.8499787505312367
soybean meal,Soybeans,UKR,0.6618611737788745,0.8499787505312367
soybean meal,Soybeans,RUS,0.6618611737788745,0.8499787505312367
soybean meal,Soybeans,BOL,0.6011779425676705,0.7874015748031497
wheat gluten,Wheat,CHN,1.4350858369098711,1.2048192771084338
wheat gluten,Wheat,IND,1.3486261658684142,1.1363636363636365
wheat gluten,Wheat,RUS,1.3486261658684142,1.1363636363636365
wheat gluten,Wheat,USA,1.3486261658684142,1.1363636363636365
wheat gluten,Wheat,FRA,1.2514619883040934,1.0526315789473684
wheat gluten,Wheat,CAN,1.2972841901066925,1.0869565217391306
wheat gluten,Wheat,UKR,1.4350858369098711,1.2048192771084338
wheat gluten,Wheat,PAK,1.2514619883040934,1.0526315789473684
wheat gluten,Wheat,DEU,1.1887568047994663,1.0752688172043012
wheat gluten,Wheat,AUS,1.2634313378202855,1.075268817204301
wheat,Wheat,CHN,1,1
wheat,Wheat,IND,1,1
wheat,Wheat,RUS,1,1
wheat,Wheat,USA,1,1
wheat,Wheat,FRA,1,1
wheat,Wheat,CAN,1,1
wheat,Wheat,UKR,1,1
wheat,Wheat,PAK,1,1
wheat,Wheat,DEU,1,1
wheat,Wheat,AUS,1,1
corn gluten meal,Maize,USA,1.2410013967981093,0.9803921568627452
corn gluten meal,Maize,CHN,1.1036789297658869,0.8771929824561403
corn gluten meal,Maize,BRA,0.935412026726058,0.746268656716418
corn gluten meal,Maize,ARG,0.9624197983501376,0.7633587786259541
corn gluten meal,Maize,UKR,1.135414106660113,0.9174311926605504
corn gluten meal,Maize,MEX,0.969569779643232,0.7751937984496124
corn gluten meal,Maize,IND,1.01896779885311,0.8064516129032256
corn gluten meal,Maize,IDN,1.0086895768743724,0.7999999999999998
corn gluten meal,Maize,ROU,1.0086895768743724,0.7999999999999998
corn gluten meal,Maize,CAN,0.9813084112149536,0.7751937984496123
corn starch,Maize,USA,0.9347802729128614,0.9803921568627452
corn starch,Maize,CHN,0.8313425704730052,0.8771929824561403
corn starch,Maize,BRA,0.7045960720793683,0.746268656716418
corn starch,Maize,ARG,0.724939588367636,0.7633587786259541
corn starch,Maize,UKR,0.8552469894322929,0.9174311926605504
corn starch,Maize,MEX,0.7303252885624343,0.7751937984496123
corn starch,Maize,IND,0.7675341861490956,0.8064516129032256
corn starch,Maize,IDN,0.7597921488144622,0.7999999999999999
corn starch,Maize,ROU,0.7597921488144622,0.7999999999999999
corn starch,Maize,CAN,0.7391673746813934,0.7751937984496123
pea protein concentrate,"Peas, dry",CAN,1.5599230346344146,1.2048192771084336
pea protein concentrate,"Peas, dry",RUS,1.5599230346344146,1.2048192771084336
pea protein concentrate,"Peas, dry",CHN,1.5599230346344146,1.2048192771084336
