"","area","item","mean_value","iso3c"
"1","China, mainland","Broad beans, horse beans, dry",1702388.5,"CHN"
"2","Ethiopia","Broad beans, horse beans, dry",962115.333333333,"ETH"
"3","United Kingdom of Great Britain and Northern Ireland","Broad beans, horse beans, dry",564876.166666667,"GBR"
"4","Nigeria","Cassava",57926447.8333333,"NGA"
"5","Democratic Republic of the Congo","Cassava",38011345.6666667,"COD"
"6","Thailand","Cassava",30576867.3333333,"THA"
"7","Kazakhstan","Linseed",789253.666666667,"KAZ"
"8","Russian Federation","Linseed",635435,"RUS"
"9","Canada","Linseed",599350,"CAN"
"10","Australia","Lupins",703330.5,"AUS"
"11","Poland","Lupins",199216.166666667,"POL"
"12","Russian Federation","Lupins",154473.333333333,"RUS"
"13","United States of America","Maize",366553395,"USA"
"14","China, mainland","Maize",261049800,"CHN"
"15","Brazil","Maize",89139767.6666667,"BRA"
"16","Canada","Peas, dry",4093383.33333333,"CAN"
"17","Russian Federation","Peas, dry",2435578.33333333,"RUS"
"18","China, mainland","Peas, dry",1428559.66666667,"CHN"
"19","China, mainland","Peas, green",11311478.6666667,"CHN"
"20","India","Peas, green",5249166.66666667,"IND"
"21","United States of America","Peas, green",277741,"USA"
"22","India","Pulses nes",960172.666666667,"IND"
"23","Kenya","Pulses nes",121627.166666667,"KEN"
"24","Ethiopia","Pulses nes",114761.666666667,"ETH"
"25","United Republic of Tanzania","Pulses nes",95944.1666666667,"TZA"
"26","Sudan","Pulses nes",90431.1666666667,"SDN"
"27","Sierra Leone","Pulses nes",77431.1666666667,"SLE"
"28","Nigeria","Pulses nes",65780.6666666667,"NGA"
"29","Guinea","Pulses nes",57442.8333333333,"GIN"
"30","Pakistan","Pulses nes",54431.8333333333,"PAK"
"31","Central African Republic","Pulses nes",47049.3333333333,"CAF"
"32","Canada","Rapeseed",19840566.6666667,"CAN"
"33","China, mainland","Rapeseed",13504500,"CHN"
"34","India","Rapeseed",7967623.33333333,"IND"
"35","United States of America","Soybeans",112280205,"USA"
"36","Brazil","Soybeans",110436474.666667,"BRA"
"37","Argentina","Soybeans",52844319.8333333,"ARG"
"38","Ukraine","Sunflower seed",13262208.3333333,"UKR"
"39","Russian Federation","Sunflower seed",12037632.1666667,"RUS"
"40","Argentina","Sunflower seed",3383551.33333333,"ARG"
"41","China, mainland","Wheat",133239683.333333,"CHN"
"42","India","Wheat",98064328.3333333,"IND"
"43","Russian Federation","Wheat",75603197.8333333,"RUS"
