"","area","item","mean_value","iso3c"
"1","China, mainland","Broad beans, horse beans, dry",1698146.6,"CHN"
"2","Ethiopia","Broad beans, horse beans, dry",940411,"ETH"
"3","United Kingdom of Great Britain and Northern Ireland","Broad beans, horse beans, dry",567047.4,"GBR"
"4","Australia","Broad beans, horse beans, dry",367982.6,"AUS"
"5","France","Broad beans, horse beans, dry",193958.4,"FRA"
"6","Germany","Broad beans, horse beans, dry",159200,"DEU"
"7","Sudan","Broad beans, horse beans, dry",139287,"SDN"
"8","Egypt","Broad beans, horse beans, dry",125229.4,"EGY"
"9","Italy","Broad beans, horse beans, dry",104060.4,"ITA"
"10","Morocco","Broad beans, horse beans, dry",86345.4,"MAR"
"11","Nigeria","Cassava",57511431.2,"NGA"
"12","Democratic Republic of the Congo","Cassava",37410763.6,"COD"
"13","Thailand","Cassava",30892416.4,"THA"
"14","Brazil","Cassava",19613602.4,"BRA"
"15","Ghana","Cassava",18846718.8,"GHA"
"16","Indonesia","Cassava",18716971.6,"IDN"
"17","Viet Nam","Cassava",10387860,"VNM"
"18","Angola","Cassava",8341266.4,"AGO"
"19","Cambodia","Cassava",7500000,"KHM"
"20","United Republic of Tanzania","Cassava",6333893.2,"TZA"
"21","Kazakhstan","Linseed",735455,"KAZ"
"22","Russian Federation","Linseed",604937.4,"RUS"
"23","Canada","Linseed",603620,"CAN"
"24","China, mainland","Linseed",367432.2,"CHN"
"25","United States of America","Linseed",169182,"USA"
"26","India","Linseed",147416,"IND"
"27","Ethiopia","Linseed",90022.8,"ETH"
"28","Ukraine","Linseed",50812,"UKR"
"29","France","Linseed",46361.8,"FRA"
"30","United Kingdom of Great Britain and Northern Ireland","Linseed",38600,"GBR"
"31","Australia","Lupins",749070.8,"AUS"
"32","Poland","Lupins",186759.4,"POL"
"33","Russian Federation","Lupins",164609.6,"RUS"
"34","Morocco","Lupins",56632.2,"MAR"
"35","Germany","Lupins",37800,"DEU"
"36","Chile","Lupins",36912.8,"CHL"
"37","Ukraine","Lupins",21270,"UKR"
"38","Peru","Lupins",14843.6,"PER"
"39","Greece","Lupins",13923.8,"GRC"
"40","France","Lupins",12155.6,"FRA"
"41","United States of America","Maize",367813762,"USA"
"42","China, mainland","Maize",261125760,"CHN"
"43","Brazil","Maize",86174997.2,"BRA"
"44","Argentina","Maize",44681904,"ARG"
"45","Ukraine","Maize",29550406,"UKR"
"46","Mexico","Maize",27021010.2,"MEX"
"47","India","Maize",26167570,"IND"
"48","Indonesia","Maize",24990960.2,"IDN"
"49","Romania","Maize",14038009.4,"ROU"
"50","Canada","Maize",13790540,"CAN"
"51","Canada","Peas, dry",3993200,"CAN"
"52","Russian Federation","Peas, dry",2374679,"RUS"
"53","China, mainland","Peas, dry",1426146.2,"CHN"
"54","United States of America","Peas, dry",893714.6,"USA"
"55","India","Peas, dry",889426,"IND"
"56","Ukraine","Peas, dry",714132,"UKR"
"57","France","Peas, dry",665158.2,"FRA"
"58","Ethiopia","Peas, dry",369238.8,"ETH"
"59","Lithuania","Peas, dry",289089.2,"LTU"
"60","Australia","Peas, dry",277370.2,"AUS"
"61","China, mainland","Peas, green",11323701.2,"CHN"
"62","India","Peas, green",5158400,"IND"
"63","United States of America","Peas, green",277422,"USA"
"64","France","Peas, green",248928.2,"FRA"
"65","Egypt","Peas, green",175036.4,"EGY"
"66","Pakistan","Peas, green",160318,"PAK"
"67","Algeria","Peas, green",156347.2,"DZA"
"68","United Kingdom of Great Britain and Northern Ireland","Peas, green",143379.4,"GBR"
"69","Peru","Peas, green",130330.6,"PER"
"70","Spain","Peas, green",108510.6,"ESP"
"71","India","Pulses nes",959858.6,"IND"
"72","Kenya","Pulses nes",122352.4,"KEN"
"73","Ethiopia","Pulses nes",111388,"ETH"
"74","United Republic of Tanzania","Pulses nes",105882.6,"TZA"
"75","Sudan","Pulses nes",90451,"SDN"
"76","Sierra Leone","Pulses nes",77381.8,"SLE"
"77","Nigeria","Pulses nes",65753.8,"NGA"
"78","Pakistan","Pulses nes",63128.6,"PAK"
"79","Guinea","Pulses nes",57544.8,"GIN"
"80","Central African Republic","Pulses nes",46728.6,"CAF"
"81","Canada","Rapeseed",19911740,"CAN"
"82","China, mainland","Rapeseed",13405400,"CHN"
"83","India","Rapeseed",7736348,"IND"
"84","France","Rapeseed",4779711.2,"FRA"
"85","Germany","Rapeseed",4074440,"DEU"
"86","Australia","Rapeseed",3377528,"AUS"
"87","Poland","Rapeseed",2398354.2,"POL"
"88","Ukraine","Rapeseed",2223444,"UKR"
"89","United Kingdom of Great Britain and Northern Ireland","Rapeseed",2049600,"GBR"
