ingredient,item,area,iso3c,mean_value,cf,X7
faba beans,"Broad beans, horse beans, dry","China, mainland",CHN,1698146.6,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.129
faba beans,"Broad beans, horse beans, dry",Ethiopia,ETH,940411,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.130
faba beans,"Broad beans, horse beans, dry",United Kingdom of Great Britain and Northern Ireland,GBR,567047.4,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.131
faba beans,"Broad beans, horse beans, dry",Australia,AUS,367982.6,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.132
faba beans,"Broad beans, horse beans, dry",France,FRA,193958.4,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.133
faba beans,"Broad beans, horse beans, dry",Germany,DEU,159200,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.134
faba beans,"Broad beans, horse beans, dry",Sudan,SDN,139287,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.135
faba beans,"Broad beans, horse beans, dry",Egypt,EGY,125229.4,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.136
faba beans,"Broad beans, horse beans, dry",Italy,ITA,104060.4,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.137
faba beans,"Broad beans, horse beans, dry",Morocco,MAR,86345.4,0.89,adjusted for wet weight equivalents (11% water in raw mature beans) https://onlinelibrary.wiley.com/doi/full/10.1002/leg3.138
tapioca starch,Cassava,Nigeria,NGA,57926447.83,0.25,Used median of other values as item missing from FAO 1972
tapioca starch,Cassava,Democratic Republic of the Congo,COD,38011345.67,0.25,Used median of other values as item missing from FAO 1972
tapioca starch,Cassava,Thailand,THA,30576867.33,0.25,http://countrystat.org/resources/documents/tcf.pdf
tapioca starch,Cassava,Brazil,BRA,19378855.33,0.25,http://countrystat.org/resources/documents/tcf.pdf
tapioca starch,Cassava,Ghana,GHA,19340875.83,0.25,http://countrystat.org/resources/documents/tcf.pdf
tapioca starch,Cassava,Indonesia,IDN,18647809.67,0.2,http://countrystat.org/resources/documents/tcf.pdf
tapioca starch,Cassava,Viet Nam,VNM,10404515.67,0.25,Used median of other values as item missing from FAO 1972
tapioca starch,Cassava,Angola,AGO,8414693.167,0.25,http://countrystat.org/resources/documents/tcf.pdf
tapioca starch,Cassava,Cambodia,KHM,7527250.833,0.25,Used median of other values as item missing from FAO 1972
tapioca starch,Cassava,United Republic of Tanzania,TZA,6536557.5,0.25,Used median of other values as item missing from FAO 1972
linseed oil,Linseed,Kazakhstan,KAZ,789253.6667,0.35,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,Russian Federation,RUS,635435,0.35,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,Canada,CAN,599350,0.34,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,"China, mainland",CHN,361193.5,0.35,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,United States of America,USA,165141.6667,0.36,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,India,IND,143013.3333,0.32,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,Ethiopia,ETH,88428.5,0.34,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,Ukraine,UKR,48539.83333,0.32,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,France,FRA,44965,0.35,http://countrystat.org/resources/documents/tcf.pdf
linseed oil,Linseed,United Kingdom of Great Britain and Northern Ireland,GBR,41666.66667,0.35,http://countrystat.org/resources/documents/tcf.pdf
lupins,Lupins,Australia,AUS,749070.8,0.976,flat rate from https://www.sciencedirect.com/science/article/pii/B978012802778300010X#s0045 after dehulling see - https://www.feedipedia.org/node/23099
lupins,Lupins,Poland,POL,186759.4,0.976,https://www.sciencedirect.com/science/article/pii/B978012802778300010X#s0045
